127.0.0.1 - - [20/May/2015:15:50:38 +0530] "GET / HTTP/1.1" 404 955
0:0:0:0:0:0:0:1 - - [20/May/2015:15:50:43 +0530] "GET /RIF/ HTTP/1.1" 200 6677
0:0:0:0:0:0:0:1 - - [20/May/2015:15:50:43 +0530] "GET /RIF/scripts/rif-1.0.0.js HTTP/1.1" 200 4478
0:0:0:0:0:0:0:1 - - [20/May/2015:15:50:43 +0530] "GET /RIF/scripts/jquery-1.11.1.js HTTP/1.1" 200 282766
0:0:0:0:0:0:0:1 - - [20/May/2015:15:50:43 +0530] "GET /RIF/scripts/jquery.form.js HTTP/1.1" 200 43892
0:0:0:0:0:0:0:1 - - [20/May/2015:15:50:43 +0530] "GET /RIF/style/table.css HTTP/1.1" 200 3293
10.222.4.22 - - [20/May/2015:15:53:00 +0530] "GET /RIF/ HTTP/1.1" 200 6677
10.222.4.22 - - [20/May/2015:15:53:00 +0530] "GET /RIF/scripts/rif-1.0.0.js HTTP/1.1" 200 4478
10.222.4.22 - - [20/May/2015:15:53:00 +0530] "GET /RIF/scripts/jquery.form.js HTTP/1.1" 200 43892
10.222.4.22 - - [20/May/2015:15:53:00 +0530] "GET /RIF/scripts/jquery-1.11.1.js HTTP/1.1" 200 282766
10.222.4.22 - - [20/May/2015:15:53:00 +0530] "GET /RIF/style/table.css HTTP/1.1" 200 3293
10.222.3.204 - - [20/May/2015:15:59:50 +0530] "GET /RIF/ HTTP/1.1" 200 6677
10.222.3.204 - - [20/May/2015:15:59:50 +0530] "GET /RIF/style/table.css HTTP/1.1" 200 3293
10.222.3.204 - - [20/May/2015:15:59:50 +0530] "GET /RIF/style/table.css HTTP/1.1" 200 3293
10.222.3.204 - - [20/May/2015:15:59:50 +0530] "GET /RIF/scripts/rif-1.0.0.js HTTP/1.1" 200 4478
10.222.3.204 - - [20/May/2015:15:59:50 +0530] "GET /RIF/scripts/rif-1.0.0.js HTTP/1.1" 200 4478
10.222.3.204 - - [20/May/2015:15:59:50 +0530] "GET /RIF/scripts/jquery.form.js HTTP/1.1" 200 43892
10.222.3.204 - - [20/May/2015:15:59:50 +0530] "GET /RIF/scripts/jquery.form.js HTTP/1.1" 200 43892
10.222.3.204 - - [20/May/2015:15:59:50 +0530] "GET /RIF/scripts/jquery-1.11.1.js HTTP/1.1" 200 282766
10.222.3.204 - - [20/May/2015:15:59:50 +0530] "GET /RIF/scripts/jquery-1.11.1.js HTTP/1.1" 200 282766
10.222.3.204 - - [20/May/2015:15:59:58 +0530] "GET /favicon.ico HTTP/1.1" 404 988
10.222.3.204 - - [20/May/2015:15:59:58 +0530] "GET /favicon.ico HTTP/1.1" 404 988
10.222.3.204 - - [20/May/2015:16:00:23 +0530] "POST /RIF/UploadFile HTTP/1.1" 0 -
10.222.3.204 - - [20/May/2015:16:01:03 +0530] "POST /RIF/UploadFile HTTP/1.1" 0 -
10.222.3.204 - - [20/May/2015:16:02:04 +0530] "POST /RIF/UploadFile HTTP/1.1" 0 -
10.222.3.204 - - [20/May/2015:16:02:04 +0530] "POST /RIF/UploadFile HTTP/1.1" 0 -
10.222.4.90 - - [20/May/2015:16:55:17 +0530] "GET /RIF/ HTTP/1.1" 200 6677
10.222.4.90 - - [20/May/2015:16:55:18 +0530] "GET /RIF/scripts/rif-1.0.0.js HTTP/1.1" 200 4478
10.222.4.90 - - [20/May/2015:16:55:18 +0530] "GET /RIF/style/table.css HTTP/1.1" 200 3293
10.222.4.90 - - [20/May/2015:16:55:18 +0530] "GET /RIF/scripts/jquery.form.js HTTP/1.1" 200 43892
10.222.4.90 - - [20/May/2015:16:55:18 +0530] "GET /RIF/scripts/jquery-1.11.1.js HTTP/1.1" 200 282766
10.222.4.90 - - [20/May/2015:16:55:20 +0530] "GET /favicon.ico HTTP/1.1" 404 988
10.222.4.90 - - [20/May/2015:16:56:56 +0530] "GET /RIF HTTP/1.1" 302 -
10.222.4.90 - - [20/May/2015:16:59:26 +0530] "POST /RIF/UploadFile HTTP/1.1" 0 -
10.222.4.90 - - [20/May/2015:17:00:41 +0530] "POST /RIF/UploadFile HTTP/1.1" 0 -
